nohup: ignoring input
[2026-08-26 16:02:41] [DAEMON] Starting live quote daemon for 21 symbols...
[2026-08-26 16:02:41] [REST] Fetching initial quote snapshot to populate baseline...
[2026-08-26 16:02:42] [REST] Initial baseline Parquet file created successfully.
[2026-08-26 16:02:42] [DAEMON] Background daemon running. Parquet updates will write to 'live_quotes_cache.parquet'.
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1537.99 (200.0 shs) | Ask: 1539.95 (600.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1538.01 (700.0 shs) | Ask: 1539.95 (600.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1537.99 (200.0 shs) | Ask: 1539.95 (600.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1537.99 (200.0 shs) | Ask: 1539.77 (600.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1537.99 (200.0 shs) | Ask: 1539.5 (600.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1537.99 (200.0 shs) | Ask: 1539.77 (600.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1537.99 (200.0 shs) | Ask: 1539.95 (600.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1538.15 (600.0 shs) | Ask: 1539.95 (600.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1538.15 (600.0 shs) | Ask: 1540 (1700.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.5 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.65 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: AMD | Bid: 479.8 (1000.0 shs) | Ask: 481 (1000.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.7 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:44] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.75 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1537.99 (200.0 shs) | Ask: 1540 (1700.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1537.99 (200.0 shs) | Ask: 1539.95 (600.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.41 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.6 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.37 (500.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.37 (500.0 shs) | Ask: 949.99 (1000.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.37 (500.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: SNDK | Bid: 1537.99 (200.0 shs) | Ask: 1539.77 (600.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.45 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.37 (500.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:45] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.3 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.4 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.45 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: DELL | Bid: 466.06 (1100.0 shs) | Ask: 467.82 (1100.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: DELL | Bid: 466.06 (1100.0 shs) | Ask: 467.85 (10000.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: DELL | Bid: 466.06 (1100.0 shs) | Ask: 467.54 (1100.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: DELL | Bid: 466.11 (1100.0 shs) | Ask: 467.54 (1100.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.32 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.26 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: DELL | Bid: 466 (600.0 shs) | Ask: 467.54 (1100.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: DELL | Bid: 466.01 (1100.0 shs) | Ask: 467.54 (1100.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: MU | Bid: 949.3 (1000.0 shs) | Ask: 950.5 (200.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: AMD | Bid: 479.5 (5000.0 shs) | Ask: 481 (1000.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: DELL | Bid: 466.11 (1100.0 shs) | Ask: 467.54 (1100.0 shs)
[2026-08-26 16:02:46] [WS BATCH 1] Updated & Saved -> Symbol: DELL | Bid: 466.04 (1100.0 shs) | Ask: 467.54 (1100.0 shs)
