nohup: ignoring input
[2026-08-21 17:30:34] [DAEMON] Starting live quote daemon for 69 symbols...
[2026-08-21 17:30:34] [REST] Fetching initial quote snapshot to populate baseline...
[2026-08-21 17:30:36] [REST] Initial baseline Parquet file created successfully.
[2026-08-21 17:30:36] [DAEMON] Background daemon running. Parquet updates will write to 'live_quotes_cache.parquet'.
[2026-08-21 17:30:36] [WS BATCH 1] Subscribed to 50 clean symbols. Listening...
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: MPWR | Bid: 1300.9 (1100.0 shs) | Ask: 1340 (3000.0 shs)
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: MSFT | Bid: 482.75 (200.0 shs) | Ask: 483.25 (100.0 shs)
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: NNN | Bid: 45.62 (800.0 shs) | Ask: 46.79 (600.0 shs)
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: O | Bid: 62.7 (500.0 shs) | Ask: 62.8 (500.0 shs)
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: ORLY | Bid: 88.55 (100.0 shs) | Ask: 90 (41400.0 shs)
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: PFIX | Bid: 48.28 (4500.0 shs) | Ask: 54.86 (100.0 shs)
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: PGR | Bid: 218.38 (100.0 shs) | Ask: 221 (100.0 shs)
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: PLD | Bid: 139.11 (1600.0 shs) | Ask: 142 (600.0 shs)
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: PSA | Bid: 307.03 (100.0 shs) | Ask: 329.88 (500.0 shs)
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: REXR | Bid: 35.65 (2700.0 shs) | Ask: 37.21 (200.0 shs)
[2026-08-21 17:30:37] [WS BATCH 1] Updated & Saved -> Symbol: RSBT | Bid: 17.67 (1500.0 shs) | Ask: 23.4 (500.0 shs)
[2026-08-21 17:30:42] [WS BATCH 1] Updated & Saved -> Symbol: APP | Bid: 305.7 (200.0 shs) | Ask: 305.96 (1800.0 shs)
[2026-08-21 17:30:42] [WS BATCH 1] Updated & Saved -> Symbol: APP | Bid: 305.7 (300.0 shs) | Ask: 305.96 (1800.0 shs)
[2026-08-21 17:30:42] [WS BATCH 1] Updated & Saved -> Symbol: APP | Bid: 305.7 (200.0 shs) | Ask: 305.96 (1800.0 shs)
[2026-08-21 17:30:42] [WS BATCH 1] Updated & Saved -> Symbol: APP | Bid: 305.6 (100.0 shs) | Ask: 305.96 (1800.0 shs)
[2026-08-21 17:31:05] [WS BATCH 1] Updated & Saved -> Symbol: APP | Bid: 305.6 (100.0 shs) | Ask: 305.95 (800.0 shs)
[2026-08-21 17:31:05] [WS BATCH 1] Updated & Saved -> Symbol: APP | Bid: 305.6 (100.0 shs) | Ask: 305.95 (1600.0 shs)
[2026-08-21 17:31:06] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.38 (10000.0 shs)
[2026-08-21 17:31:08] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.49 (1200.0 shs)
[2026-08-21 17:31:08] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.28 (100.0 shs) | Ask: 551.49 (1200.0 shs)
[2026-08-21 17:31:08] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.28 (100.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:31:08] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.32 (100.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:31:08] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.27 (200.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:31:09] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:31:20] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.49 (200.0 shs)
[2026-08-21 17:31:20] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.49 (700.0 shs)
[2026-08-21 17:31:20] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.49 (200.0 shs)
[2026-08-21 17:31:20] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:31:35] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.54 (10000.0 shs)
[2026-08-21 17:31:37] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:31:53] [WS BATCH 1] Updated & Saved -> Symbol: BIL | Bid: 91.59 (12655800.0 shs) | Ask: 91.6 (8627500.0 shs)
[2026-08-21 17:31:54] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.49 (200.0 shs)
[2026-08-21 17:31:54] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.49 (1100.0 shs)
[2026-08-21 17:31:54] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.49 (200.0 shs)
[2026-08-21 17:31:54] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:32:21] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.58 (10000.0 shs)
[2026-08-21 17:32:22] [WS BATCH 1] Updated & Saved -> Symbol: MELI | Bid: 1911 (500.0 shs) | Ask: 1921.57 (1900.0 shs)
[2026-08-21 17:32:22] [WS BATCH 1] Updated & Saved -> Symbol: MELI | Bid: 1912.59 (100.0 shs) | Ask: 1921.57 (1900.0 shs)
[2026-08-21 17:32:22] [WS BATCH 1] Updated & Saved -> Symbol: MELI | Bid: 1913.82 (300.0 shs) | Ask: 1921.57 (1900.0 shs)
[2026-08-21 17:32:22] [WS BATCH 1] Updated & Saved -> Symbol: MELI | Bid: 1913.82 (300.0 shs) | Ask: 1932 (2000.0 shs)
[2026-08-21 17:32:22] [WS BATCH 1] Updated & Saved -> Symbol: MELI | Bid: 1918.39 (600.0 shs) | Ask: 1932 (2000.0 shs)
[2026-08-21 17:32:22] [WS BATCH 1] Updated & Saved -> Symbol: MELI | Bid: 1915.26 (1900.0 shs) | Ask: 1932 (2000.0 shs)
[2026-08-21 17:32:22] [WS BATCH 1] Updated & Saved -> Symbol: MELI | Bid: 1913.82 (300.0 shs) | Ask: 1932 (2000.0 shs)
[2026-08-21 17:32:22] [WS BATCH 1] Updated & Saved -> Symbol: MELI | Bid: 1912.59 (100.0 shs) | Ask: 1932 (2000.0 shs)
[2026-08-21 17:32:23] [WS BATCH 1] Updated & Saved -> Symbol: MELI | Bid: 1911 (500.0 shs) | Ask: 1932 (2000.0 shs)
[2026-08-21 17:32:23] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:32:42] [WS BATCH 1] Updated & Saved -> Symbol: BIL | Bid: 91.59 (12655800.0 shs) | Ask: 91.6 (8623800.0 shs)
[2026-08-21 17:32:50] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.6 (10000.0 shs)
[2026-08-21 17:32:52] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:32:58] [WS BATCH 1] Updated & Saved -> Symbol: APP | Bid: 305.6 (100.0 shs) | Ask: 305.9 (800.0 shs)
[2026-08-21 17:32:58] [WS BATCH 1] Updated & Saved -> Symbol: APP | Bid: 305.6 (100.0 shs) | Ask: 305.9 (1600.0 shs)
[2026-08-21 17:33:23] [WS BATCH 1] Updated & Saved -> Symbol: APP | Bid: 305.6 (100.0 shs) | Ask: 305.9 (9500.0 shs)
[2026-08-21 17:33:24] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.6 (10000.0 shs)
[2026-08-21 17:33:28] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:33:28] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.55 (10000.0 shs)
[2026-08-21 17:33:30] [WS BATCH 1] Updated & Saved -> Symbol: META | Bid: 551.26 (100.0 shs) | Ask: 551.8 (1800.0 shs)
[2026-08-21 17:33:36] [WS BATCH 1] Updated & Saved -> Symbol: BIL | Bid: 91.59 (12661400.0 shs) | Ask: 91.6 (8623800.0 shs)
[2026-08-21 17:33:50] [WS BATCH 1] Updated & Saved -> Symbol: BIL | Bid: 91.59 (12655800.0 shs) | Ask: 91.6 (8623800.0 shs)
[2026-08-21 17:33:50] [WS BATCH 1] Updated & Saved -> Symbol: BIL | Bid: 91.59 (12655800.0 shs) | Ask: 91.6 (8618200.0 shs)
[2026-08-21 17:34:13] [WS BATCH 1] Updated & Saved -> Symbol: APH | Bid: 157.23 (100.0 shs) | Ask: 158.13 (100.0 shs)
[2026-08-21 17:34:13] [WS BATCH 1] Updated & Saved -> Symbol: O | Bid: 62.7 (1500.0 shs) | Ask: 62.8 (500.0 shs)
[2026-08-21 17:34:14] [WS BATCH 1] Updated & Saved -> Symbol: APH | Bid: 156.15 (100.0 shs) | Ask: 158.13 (100.0 shs)
[2026-08-21 17:34:14] [WS BATCH 1] Updated & Saved -> Symbol: BIL | Bid: 91.59 (12655800.0 shs) | Ask: 91.6 (8609700.0 shs)
[2026-08-21 17:34:17] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.53 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:21] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.24 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:21] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 141.79 (100.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:21] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.53 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:24] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.24 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:24] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 141.79 (100.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:24] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.53 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:25] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.24 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:25] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 141.79 (100.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:25] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.53 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:26] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.24 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:26] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 141.79 (100.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:26] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.53 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:27] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 141.79 (100.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:27] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.53 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:27] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 141.79 (100.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:27] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.53 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:27] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 141.79 (100.0 shs) | Ask: 145.95 (2000.0 shs)
[2026-08-21 17:34:28] [WS BATCH 1] Updated & Saved -> Symbol: BX | Bid: 142.16 (3000.0 shs) | Ask: 145.95 (2000.0 shs)
