,Code,Exchange,Name,Sector,Industry,Country,Region,Assets_%
RNG.US,RNG,US,Ringcentral Inc,Technology,Software - Application,United States,North America,0.04
SEDG.US,SEDG,US,SolarEdge Technologies Inc,Technology,Solar,United States,North America,0.03
PRGS.US,PRGS,US,Progress Software Corporation,Technology,Software - Infrastructure,United States,North America,0.03
OS.US,OS,US,"OneStream, Inc. Class A Common Stock",Technology,Software - Infrastructure,United States,North America,0.03
DGII.US,DGII,US,Digi International Inc,Technology,Communication Equipment,United States,North America,0.03
RAMP.US,RAMP,US,Liveramp Holdings Inc,Technology,Software - Infrastructure,United States,North America,0.03
BRZE.US,BRZE,US,Braze Inc,Technology,Software - Application,United States,North America,0.03
ALKT.US,ALKT,US,Alkami Technology Inc,Technology,Software - Application,United States,North America,0.03
ROG.US,ROG,US,Rogers Corporation,Technology,Electronic Components,United States,North America,0.03
BBAI.US,BBAI,US,BigBearai Holdings Inc,Technology,Information Technology Services,United States,North America,0.03
CTS.US,CTS,US,CTS Corporation,Technology,Electronic Components,United States,North America,0.03
MXL.US,MXL,US,MaxLinear Inc,Technology,Semiconductors,United States,North America,0.03
APXT.US,APXT,US,Apex Technology Acquisition Corporation,Financial Services,Shell Companies,United States,North America,0.03
AI.US,AI,US,C3 Ai Inc,Technology,Software - Infrastructure,United States,North America,0.03
VERX.US,VERX,US,Vertex,Technology,Software - Application,United States,North America,0.03
COHU.US,COHU,US,Cohu Inc,Technology,Semiconductor Equipment & Materials,United States,North America,0.03
NSSC.US,NSSC,US,NAPCO Security Technologies Inc,Industrials,Security & Protection Services,United States,North America,0.02
ARLO.US,ARLO,US,Arlo Technologies,Industrials,Building Products & Equipment,United States,North America,0.02
VYX.US,VYX,US,NCR Voyix Corporation,Technology,Information Technology Services,United States,North America,0.02
FSLY.US,FSLY,US,"Fastly, Inc. Class A Common Stock",Technology,Software - Application,United States,North America,0.02
ATEN.US,ATEN,US,A10 Network,Technology,Software - Infrastructure,United States,North America,0.02
LOKB.US,LOKB,US,Live Oak Acquisition Corp. II,Financial Services,Shell Companies,United States,North America,0.02
FIVN.US,FIVN,US,Five9 Inc,Technology,Software - Infrastructure,United States,North America,0.02
HLIT.US,HLIT,US,Harmonic Inc,Technology,Communication Equipment,United States,North America,0.02
OUST.US,OUST,US,"Ouster, Inc. Common Stock",Technology,Electronic Components,United States,North America,0.02
PAR.US,PAR,US,PAR Technology Corporation,Technology,Software - Application,United States,North America,0.02
NN_old.US,NN_old,US,NN,Communication Services,Internet Content & Information,United States,North America,0.02
ICHR.US,ICHR,US,Ichor Holdings Ltd,Technology,Semiconductor Equipment & Materials,United States,North America,0.02
DBD.US,DBD,US,"Diebold Nixdorf, Incorporated",Technology,Software - Application,United States,North America,0.02
PDFS.US,PDFS,US,PDF Solutions Inc,Technology,Software - Application,United States,North America,0.02
88E.F,88E,F,88E,Technology,Information Technology Services,Germany,Europe,0.02
PD.US,PD,US,Pagerduty Inc,Technology,Software - Application,United States,North America,0.02
SCSC.US,SCSC,US,ScanSource Inc,Technology,Electronics & Computer Distribution,United States,North America,0.02
PGYWW.US,PGYWW,US,Pagaya Technologies Ltd. Warrants,,,United States,North America,0.02
APPN.US,APPN,US,Appian Corp,Technology,Software - Infrastructure,United States,North America,0.02
DAKT.US,DAKT,US,Daktronics Inc,Technology,Electronic Components,United States,North America,0.02
ASAN.US,ASAN,US,Asana Inc,Technology,Software - Application,United States,North America,0.02
AMPL_old.US,AMPL_old,US,AMPL,Technology, Software - Application,United States,North America,0.02
INDI.US,INDI,US,indie Semiconductor Inc,Technology,Semiconductors,United States,North America,0.02
CXM.US,CXM,US,Sprinklr Inc,Technology,Software - Application,United States,North America,0.01
DJCO.US,DJCO,US,Daily Journal Corp,Technology,Software - Application,United States,North America,0.01
YEXT.US,YEXT,US,Yext Inc,Technology,Software - Infrastructure,United States,North America,0.01
JAMF.US,JAMF,US,Jamf Holding,Technology,Software - Application,United States,North America,0.01
KE.US,KE,US,Kimball Electronics,Industrials,Electrical Equipment & Parts,United States,North America,0.01
AEHR.US,AEHR,US,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,United States,North America,0.01
RPD.US,RPD,US,Rapid7 Inc,Technology,Software - Infrastructure,United States,North America,0.01
CNXN.US,CNXN,US,PC Connection Inc,Technology,Electronics & Computer Distribution,United States,North America,0.01
QH9.MU,QH9,MU,ADTRAN Holdings Inc.,,,Germany,Europe,0.01
NHIC_old1.US,NHIC_old1,US,NHIC,Financial Services,Shell Companies,United States,North America,0.01
NTSK.US,NTSK,US,"Netskope, Inc. Class A Common Stock",Technology,Software - Infrastructure,United States,North America,0.01
PWFL.US,PWFL,US,PowerFleet Inc,Technology,Software - Infrastructure,United States,North America,0.01
VPG.US,VPG,US,Vishay Precision Group Inc,Technology,Scientific & Technical Instruments,United States,North America,0.01
NTGR.US,NTGR,US,NETGEAR Inc,Technology,Communication Equipment,United States,North America,0.01
CEVA.US,CEVA,US,CEVA Inc,Technology,Semiconductors,United States,North America,0.01
AOSL.US,AOSL,US,Alpha and Omega Semiconductor Ltd,Technology,Semiconductors,United States,North America,0.01
GDYN.US,GDYN,US,Grid Dynamics Holdings Inc,Technology,Information Technology Services,United States,North America,0.01
SEMR.US,SEMR,US,Semrush Holdings Inc,Technology,Software - Application,United States,North America,0.01
PRCH.US,PRCH,US,Porch Group Inc,Technology,Software - Application,United States,North America,0.01
APPS.US,APPS,US,Digital Turbine Inc,Technology,Software - Application,United States,North America,0.01
RDVT.US,RDVT,US,Red Violet Inc,Technology,Software - Application,United States,North America,0.01
IIIV.US,IIIV,US,i3 Verticals Inc,Technology,Software - Infrastructure,United States,North America,0.01
BLND.US,BLND,US,Blend Labs Inc,Technology,Software - Application,United States,North America,0.01
