,Code,Exchange,Name,Sector,Industry,Country,Region,Assets_%
IRM.US,IRM,US,Iron Mountain Incorporated,Real Estate,REIT - Specialty,United States,North America,0.05
CFG.US,CFG,US,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,United States,North America,0.05
TSCO.US,TSCO,US,Tractor Supply Company,Consumer Cyclical,Specialty Retail,United States,North America,0.05
PPL.US,PPL,US,PPL Corporation,Utilities,Utilities - Regulated Electric,United States,North America,0.05
CHK.US,CHK,US,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,United States,North America,0.05
ATO.US,ATO,US,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,United States,North America,0.05
BIIB.US,BIIB,US,Biogen Inc,Healthcare,Drug Manufacturers - General,United States,North America,0.04
SYF.US,SYF,US,Synchrony Financial,Financial Services,Credit Services,United States,North America,0.04
CSGP.US,CSGP,US,CoStar Group Inc,Real Estate,Real Estate Services,United States,North America,0.04
TPR.US,TPR,US,Tapestry Inc,Consumer Cyclical,Luxury Goods,United States,North America,0.04
ES.US,ES,US,Eversource Energy,Utilities,Utilities - Regulated Electric,United States,North America,0.04
PPG.US,PPG,US,PPG Industries Inc,Basic Materials,Specialty Chemicals,United States,North America,0.04
HUBB.US,HUBB,US,Hubbell Inc,Industrials,Electrical Equipment & Parts,United States,North America,0.04
CNP.US,CNP,US,CenterPoint Energy Inc,Utilities,Utilities - Regulated Electric,United States,North America,0.04
STE.US,STE,US,STERIS plc,Healthcare,Medical Devices,United States,North America,0.04
JBL.US,JBL,US,Jabil Circuit Inc,Technology,Electronic Components,United States,North America,0.04
DVN.US,DVN,US,Devon Energy Corporation,Energy,Oil & Gas E&P,United States,North America,0.04
AWK.US,AWK,US,American Water Works,Utilities,Utilities - Regulated Water,United States,North America,0.04
AVB.US,AVB,US,AvalonBay Communities Inc,Real Estate,REIT - Residential,United States,North America,0.04
CINF.US,CINF,US,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,United States,North America,0.04
RF.US,RF,US,Regions Financial Corporation,Financial Services,Banks - Regional,United States,North America,0.04
WSM.US,WSM,US,Williams-Sonoma Inc,Consumer Cyclical,Specialty Retail,United States,North America,0.04
GIS.US,GIS,US,General Mills Inc,Consumer Defensive,Packaged Foods,United States,North America,0.04
EFX.US,EFX,US,Equifax Inc,Industrials,Consulting Services,United States,North America,0.04
STLD.US,STLD,US,Steel Dynamics Inc,Basic Materials,Steel,United States,North America,0.04
FE.US,FE,US,FirstEnergy Corporation,Utilities,Utilities - Regulated Electric,United States,North America,0.04
VLTO.US,VLTO,US,Veralto Corporation,Industrials,Pollution & Treatment Controls,United States,North America,0.04
OMC.US,OMC,US,Omnicom Group Inc,Communication Services,Advertising Agencies,United States,North America,0.04
LUV.US,LUV,US,Southwest Airlines Company,Industrials,Airlines,United States,North America,0.04
PHM.US,PHM,US,PulteGroup Inc,Consumer Cyclical,Residential Construction,United States,North America,0.04
FSLR.US,FSLR,US,First Solar Inc,Technology,Solar,United States,North America,0.04
ON.US,ON,US,ON Semiconductor Corporation,Technology,Semiconductors,United States,North America,0.04
LDOS.US,LDOS,US,Leidos Holdings Inc,Technology,Information Technology Services,United States,North America,0.04
EIX.US,EIX,US,Edison International,Utilities,Utilities - Regulated Electric,United States,North America,0.04
LEN.US,LEN,US,Lennar Corporation,Consumer Cyclical,Residential Construction,United States,North America,0.04
HUM.US,HUM,US,Humana Inc,Healthcare,Healthcare Plans,United States,North America,0.04
DRI.US,DRI,US,Darden Restaurants Inc,Consumer Cyclical,Restaurants,United States,North America,0.04
CHD.US,CHD,US,Church & Dwight Company Inc,Consumer Defensive,Household & Personal Products,United States,North America,0.04
TROW.US,TROW,US,T. Rowe Price Group Inc,Financial Services,Asset Management,United States,North America,0.04
CHRW.US,CHRW,US,CH Robinson Worldwide Inc,Industrials,Integrated Freight & Logistics,United States,North America,0.04
BR.US,BR,US,Broadridge Financial Solutions Inc,Technology,Information Technology Services,United States,North America,0.04
LYV.US,LYV,US,Live Nation Entertainment Inc,Communication Services,Entertainment,United States,North America,0.04
LH.US,LH,US,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,United States,North America,0.04
DLTR.US,DLTR,US,Dollar Tree Inc,Consumer Defensive,Discount Stores,United States,North America,0.04
STZ.US,STZ,US,Constellation Brands Inc Class A,Consumer Defensive,Beverages - Brewers,United States,North America,0.04
WAT.US,WAT,US,Waters Corporation,Healthcare,Diagnostics & Research,United States,North America,0.04
CPAY.US,CPAY,US,Corpay Inc,Technology,Software - Infrastructure,United States,North America,0.04
CTRA.US,CTRA,US,Coterra Energy Inc,Energy,Oil & Gas E&P,United States,North America,0.04
CMS.US,CMS,US,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,United States,North America,0.04
