dollar_ret_1p,dollar_ret_6p,dollar_ret_13p,dollar_ret_26p,avg_eps_1q,avg_eps_2q,avg_eps_4q,avg_eps_8q
0.5221155659774964,0.22349452148268079,0.04447086058935169,0.001844533252699741,9.979558635666188e-05,3.4925655952663804e-05,0.0004760256279863627,0.011959324326504185
0.46327295919179734,0.10876056186904805,0.009334005343603015,8.121346705065132e-05,9.027541519424277e-07,4.3722704322252204e-07,1.1413040210607807e-05,0.0010517070692219463
0.5208942600073372,0.2203167558759465,0.043109499643437105,0.001733237185926144,9.0860845868366e-05,3.200545224796425e-05,0.0004419138798916667,0.011393830996152418
0.47492213095293817,0.1262405369591542,0.012891817351540406,0.00015492559732341944,2.3888087796483415e-06,1.0817858639984873e-06,2.468768808718351e-05,0.001738855301790729
0.4898122295500878,0.15195049492486837,0.019264242068165068,0.0003459479348854091,8.013863213538805e-06,3.3381747090994913e-06,6.445589236414322e-05,0.0032499339455509687
0.5048282404420599,0.18222059035266744,0.02855887498570239,0.0007603811197713501,2.6252555994230154e-05,1.0075279760912076e-05,0.00016513816095933248,0.005999746294719049
0.4420766584382468,0.08211610876628292,0.005077381118013554,2.403090418635704e-05,1.4413200085691376e-07,7.923375824410604e-08,2.6645828322925324e-06,0.00040754160091147345
0.47139032375929196,0.12070973104041487,0.011699218814272301,0.00012758728679459545,1.7829767335494748e-06,8.239034183869103e-07,1.9577482787347744e-05,0.0014949364315559978
0.518610821052841,0.21449143601178378,0.04067373058959915,0.0015427733626159883,7.624074507152348e-05,2.7182983758695804e-05,0.0003845354664415649,0.010406860593750093
0.45317995547268103,0.09529476935858647,0.0070096300523711675,4.580165715511004e-05,3.8088371228431463e-07,1.9579646514965628e-07,5.757699920926751e-06,0.0006733520224825637
0.4493482402094284,0.09056121228225963,0.006277018346600379,3.672802721022742e-05,2.7310425452643834e-07,1.4365303631143847e-07,4.422896601206171e-06,0.0005670162725617238
0.4655483554556801,0.11200575505813905,0.009947968722087084,9.224888972199815e-05,1.0937996178197432e-06,5.227806002224224e-07,1.3289301149729856e-05,0.0011613744999617566
0.38732175208189146,0.037142664618382136,0.0009101291175968615,7.721405810288895e-07,8.113493006700045e-10,6.37776206144638e-10,4.3853927520836883e-08,2.804100925995566e-05
0.42434035596535297,0.06422852473285161,0.0029816407599925284,8.287070498057101e-06,2.898197361621066e-08,1.7798105388208304e-08,7.469382454300897e-07,0.0001779144925504574
0.4918299303641937,0.1557505732548676,0.02032350218292206,0.0003850411066031596,9.416676163389e-06,3.879072220954969e-06,7.324999745781279e-05,0.0035324164121123347
0.4803383255603838,0.13513305916006035,0.014940668848525898,0.000208083540205377,3.7256982227800134e-06,1.6362163863138912e-06,3.511770710959361e-05,0.0021877705132628106
0.5062717570371488,0.18538533084425188,0.029645038174758723,0.0008193334295363207,2.937888844623437e-05,1.1187853618145165e-05,0.00018054642545656501,0.006358840263007294
0.5577730181842494,0.38190684211840126,0.14667823205906255,0.020633639250026058,0.003848250734680067,0.0010446037922261248,0.008565394317809944,0.07788317892756931
0.06573645575655074,0.08936292576038533,0.08965143108438006,0.07502057716989927,0.08523029782288195,0.015965122993264497,0.062337313576160014,0.12852999566984796
0.0981074747778904,0.12609367331260835,0.11694705528997411,0.08458176398235305,0.08289172107389663,0.0160053757231879,0.06640405420386038,0.15458125251354102
0.03388917242627097,0.050285087565633456,0.05702654656185565,0.05991986752748547,0.08573768125262961,0.015317250608134573,0.054402426958613415,0.092810683389201
0.15853627119666364,0.18933134621977632,0.15843906662623297,0.09467094281435708,0.07645636718356894,0.015361084490836936,0.06900135272717214,0.188292855509105
0.1492381775726221,0.17998203976349994,0.1526955603837943,0.09359329648441353,0.07756270531795466,0.0155009893141528,0.0688956246769161,0.184060617979431
0.18226340407418526,0.21262226721972607,0.1721829065579708,0.09679757111863296,0.07349008900818643,0.01495360585826276,0.06889687602682813,0.19779327190704424
0.036685792115640097,0.05387949622011503,0.06023206010745583,0.06162326056154085,0.08582515080661034,0.015418144670390556,0.055371525335389186,0.0965828489864936
0.008724624240926886,0.015356512147558692,0.022118980285141494,0.03623219599889491,0.08130165312327027,0.01324312968502579,0.039101411214158124,0.04609998823140943
0.003368513123893136,0.006667431112154776,0.011318666492648616,0.025156971410675775,0.0769062433766744,0.011756563383476266,0.03057294404522573,0.02796119884618551
0.024169665479825665,0.03744781990760854,0.04511834021881551,0.05304797180878582,0.08506320560500728,0.014845466617736487,0.05031730319976189,0.07817522634684196
0.007278001446077366,0.013100962249222796,0.01947237798734339,0.033813184227797506,0.08049441356194001,0.012953458621567774,0.037328886347618495,0.04192454899144961
0.00383289616476617,0.00746708197522529,0.012397457993213637,0.02644021753307658,0.07751732246188711,0.011952200942969783,0.03162025878753619,0.029929900345816753
0.04131169777348438,0.05974327080091605,0.06535813389782058,0.06423495862474153,0.0858942075565939,0.015560040833472332,0.056822944023472474,0.10248363264760396
0.4938968283509871,0.4309003128670435,0.2323388983230527,0.0613702288607331,0.021672792277351218,0.005160331948583316,0.03255535756229863,0.17523341030697798
0.3235133824825452,0.3352042790540437,0.22993341748550958,0.09497240000241484,0.05275938388904155,0.011446409254245673,0.059955311909940426,0.22245862253052662
